Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,OnlyM\OnlyM.csproj,File,OnlyM\Services\MediaWindowPositionHelper.cs,156,16,"M:System.Windows.Thickness.#ctor(System.Double,System.Double,System.Double,System.Double)",,,,,"mainGrid.Margin = new Thickness(0, 0, 0, 1);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,OnlyM\OnlyM.csproj,File,OnlyM\Services\MediaWindowPositionHelper.cs,156,16,T:System.Windows.Thickness,,,,,"mainGrid.Margin = new Thickness(0, 0, 0, 1);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,OnlyM\OnlyM.csproj,File,OnlyM\Services\MediaWindowPositionHelper.cs,156,16,P:System.Windows.FrameworkElement.Margin,,,,,"mainGrid.Margin = new Thickness(0, 0, 0, 1);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,OnlyM\OnlyM.csproj,File,OnlyM\Services\MediaWindowPositionHelper.cs,152,12,P:System.Windows.FrameworkElement.Height,,,,,mediaWindow.Height = height + 1;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,OnlyM\OnlyM.csproj,File,OnlyM\Services\MediaWindowPositionHelper.cs,151,12,P:System.Windows.FrameworkElement.Width,,,,,mediaWindow.Width = width;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,OnlyM\OnlyM.csproj,File,OnlyM\Services\MediaWindowPositionHelper.cs,150,12,P:System.Windows.Window.Top,,,,,mediaWindow.Top = top;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,OnlyM\OnlyM.csproj,File,OnlyM\Services\MediaWindowPositionHelper.cs,149,12,P:System.Windows.Window.Left,,,,,mediaWindow.Left = left;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,OnlyM\OnlyM.csproj,File,OnlyM\Services\MediaWindowPositionHelper.cs,144,16,T:System.Windows.Thickness,,,,,"mainGrid.Margin = new Thickness(0, 0, 1, 0);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,OnlyM\OnlyM.csproj,File,OnlyM\Services\MediaWindowPositionHelper.cs,144,16,"M:System.Windows.Thickness.#ctor(System.Double,System.Double,System.Double,System.Double)",,,,,"mainGrid.Margin = new Thickness(0, 0, 1, 0);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,OnlyM\OnlyM.csproj,File,OnlyM\Services\MediaWindowPositionHelper.cs,144,16,T:System.Windows.Thickness,,,,,"mainGrid.Margin = new Thickness(0, 0, 1, 0);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,OnlyM\OnlyM.csproj,File,OnlyM\Services\MediaWindowPositionHelper.cs,144,16,P:System.Windows.FrameworkElement.Margin,,,,,"mainGrid.Margin = new Thickness(0, 0, 1, 0);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,OnlyM\OnlyM.csproj,File,OnlyM\Services\MediaWindowPositionHelper.cs,140,12,P:System.Windows.FrameworkElement.Height,,,,,mediaWindow.Height = height;
